galaxy,chi_newton,chi_cbt,winner,alpha,v_max,size
CamB,5.5869,4.4063,CBT,0.388,20.1,1.8
D564-8,6.0100,3.5026,CBT,0.423,25.0,3.1
D631-7,39.2724,22.6106,CBT,0.479,58.5,7.2
DDO064,0.2611,0.2500,CBT,0.421,46.9,3.0
DDO154,55.4113,33.2382,CBT,0.466,48.2,5.9
DDO161,33.2993,25.0966,CBT,0.519,67.5,13.4
DDO168,27.5907,16.3831,CBT,0.442,55.0,4.1
DDO170,14.0866,13.8594,CBT,0.514,62.2,12.3
ESO079-G014,8.0749,15.3797,Newton,0.533,178.0,16.7
ESO116-G012,33.5748,22.4602,CBT,0.499,112.0,9.9
ESO444-G084,24.6043,13.1076,CBT,0.447,63.1,4.4
ESO563-G021,35.9545,23.8598,CBT,0.594,321.0,42.4
F561-1,0.5970,0.2078,CBT,0.498,50.4,9.7
F563-1,1.4491,0.9219,CBT,0.545,112.5,20.1
F563-V1,0.1667,0.0769,CBT,0.484,29.5,7.9
F563-V2,0.2008,0.0937,CBT,0.503,118.0,10.5
F565-V2,0.4173,0.7526,Newton,0.492,83.1,8.8
F567-2,0.3921,0.2396,CBT,0.497,52.2,9.6
F568-1,1.0826,0.4932,CBT,0.518,142.0,13.2
F568-3,3.2909,2.7856,CBT,0.538,120.0,18.0
F568-V1,0.2087,0.1402,CBT,0.537,118.0,17.6
F571-8,131.4134,53.3537,CBT,0.529,144.0,15.6
F571-V1,1.3640,1.3806,Newton,0.520,84.3,13.6
F574-1,2.1461,1.3294,CBT,0.515,99.7,12.6
F574-2,0.1379,0.3011,Newton,0.505,40.0,10.8
F579-V1,1.0963,1.1631,Newton,0.527,114.0,15.2
F583-1,2.0707,0.8683,CBT,0.532,86.9,16.3
F583-4,0.6448,0.6195,CBT,0.479,69.9,7.3
IC2574,6.8071,15.5712,Newton,0.501,67.5,10.2
IC4202,59.4080,31.8405,CBT,0.562,250.0,25.9
KK98-251,0.6957,0.4218,CBT,0.424,34.6,3.1
NGC0024,10.1529,3.9750,CBT,0.508,110.0,11.3
NGC0055,11.8918,11.4614,CBT,0.520,87.4,13.5
NGC0100,8.5923,5.4500,CBT,0.497,91.2,9.6
NGC0247,1.8439,7.7303,Newton,0.524,108.0,14.5
NGC0289,31.4264,7.5512,CBT,0.628,194.0,71.1
NGC0300,19.8975,12.7802,CBT,0.511,97.0,11.8
NGC0801,53.8720,11.5502,CBT,0.617,238.0,59.8
NGC0891,85.3745,37.3161,CBT,0.535,234.0,17.1
NGC1003,127.2454,57.3119,CBT,0.572,115.0,30.2
NGC1090,47.8699,16.1820,CBT,0.572,176.0,30.1
NGC1705,8.9797,3.8310,CBT,0.467,73.2,6.0
NGC2366,10.6711,5.9382,CBT,0.467,53.7,6.1
NGC2403,311.6945,105.4495,CBT,0.548,136.0,20.9
NGC2683,13.6754,1.4026,CBT,0.581,212.0,34.6
NGC2841,146.1824,19.1065,CBT,0.621,323.0,63.6
NGC2903,211.2949,54.0328,CBT,0.560,216.0,25.0
NGC2915,12.8082,7.5609,CBT,0.500,86.5,10.0
NGC2955,10.1836,13.5201,Newton,0.582,276.0,35.4
NGC2976,0.7969,0.5212,CBT,0.403,88.7,2.3
NGC2998,34.7682,14.3821,CBT,0.594,214.0,42.3
NGC3109,9.0984,7.3638,CBT,0.471,67.3,6.5
NGC3198,201.9063,69.7477,CBT,0.597,157.0,44.1
NGC3521,8.7551,3.1471,CBT,0.537,220.0,17.7
NGC3726,17.5031,8.6028,CBT,0.577,169.0,32.5
NGC3741,20.9264,10.4686,CBT,0.477,51.6,7.0
NGC3769,20.4185,5.9237,CBT,0.586,126.0,37.2
NGC3877,7.5307,3.3514,CBT,0.508,171.0,11.3
NGC3893,17.3994,5.5553,CBT,0.542,194.0,19.1
NGC3917,4.4593,4.0830,CBT,0.526,138.0,14.9
NGC3949,2.5340,1.6243,CBT,0.477,169.0,7.1
NGC3953,0.6992,0.8781,Newton,0.529,224.0,15.7
NGC3972,3.9903,3.1269,CBT,0.491,134.0,8.7
NGC3992,19.1760,3.5925,CBT,0.599,272.0,46.0
NGC4010,8.1697,8.4449,Newton,0.503,129.0,10.5
NGC4013,60.3733,15.0947,CBT,0.574,198.0,31.0
NGC4051,1.3215,0.7653,CBT,0.513,161.0,12.2
NGC4068,2.0919,1.4017,CBT,0.405,41.9,2.3
NGC4085,9.3647,6.4201,CBT,0.469,136.0,6.2
NGC4088,11.4932,4.4372,CBT,0.550,182.0,21.5
NGC4100,12.7474,3.7216,CBT,0.554,195.0,22.8
NGC4138,4.7871,0.6892,CBT,0.540,195.0,18.6
NGC4157,17.9086,5.2493,CBT,0.571,201.0,29.6
NGC4183,3.0663,1.4123,CBT,0.548,115.0,21.0
NGC4214,8.8536,4.4059,CBT,0.463,80.6,5.6
NGC4217,41.8038,20.6410,CBT,0.533,191.0,16.7
NGC4389,7.2339,5.5801,CBT,0.459,110.0,5.3
NGC4559,15.0546,8.4387,CBT,0.548,124.0,21.0
NGC5005,1.0524,0.3138,CBT,0.509,265.0,11.5
NGC5033,135.0490,36.6132,CBT,0.597,225.0,44.6
NGC5055,639.7940,93.1552,CBT,0.611,206.0,54.6
NGC5371,23.1648,9.3913,CBT,0.600,242.0,46.2
NGC5585,139.6020,68.4444,CBT,0.506,92.3,11.0
NGC5907,99.5981,24.1686,CBT,0.605,235.0,50.3
NGC5985,12.7944,4.5309,CBT,0.581,305.0,34.7
NGC6015,70.8362,31.1850,CBT,0.570,166.0,29.2
NGC6195,13.7109,12.9403,CBT,0.584,258.0,36.4
NGC6503,297.8392,118.9469,CBT,0.556,121.0,23.5
NGC6674,173.1229,21.2811,CBT,0.629,291.0,72.4
NGC6946,27.3697,12.7686,CBT,0.546,181.0,20.4
NGC7331,122.9941,35.5569,CBT,0.584,257.0,36.3
NGC7793,2.5373,1.0980,CBT,0.484,116.0,7.9
NGC7814,75.8696,15.8109,CBT,0.544,265.0,19.5
PGC51017,1.3200,1.6076,Newton,0.434,20.5,3.6
UGC00128,38.1721,25.4792,CBT,0.610,134.0,53.8
UGC00191,16.1683,7.3313,CBT,0.500,83.8,10.0
UGC00731,20.0243,7.9394,CBT,0.506,74.0,10.9
UGC00891,58.6688,51.6618,CBT,0.480,63.8,7.4
UGC01230,0.8876,0.3288,CBT,0.584,113.0,36.5
UGC01281,1.6051,1.1683,CBT,0.455,56.9,5.0
UGC02023,0.8799,0.7668,CBT,0.437,58.8,3.8
UGC02259,4.5475,5.0320,Newton,0.487,90.0,8.1
UGC02455,11.9622,7.8934,CBT,0.441,61.0,4.0
UGC02487,123.0995,13.8194,CBT,0.636,383.0,80.4
UGC02885,27.0015,8.6178,CBT,0.630,305.0,74.1
UGC02916,82.1806,16.4423,CBT,0.587,218.0,38.0
UGC02953,400.5209,30.5215,CBT,0.619,319.0,62.4
UGC03205,60.9271,15.1002,CBT,0.590,237.0,40.0
UGC03546,55.9326,4.5986,CBT,0.570,262.0,29.2
UGC03580,314.7166,94.5527,CBT,0.565,131.0,27.1
UGC04278,5.5448,4.8102,CBT,0.474,92.8,6.7
UGC04305,1.2824,1.3372,Newton,0.461,37.3,5.5
UGC04325,4.9203,5.3557,Newton,0.462,92.7,5.6
UGC04483,1.6618,1.4377,CBT,0.362,24.3,1.2
UGC04499,5.7513,4.1963,CBT,0.487,74.3,8.2
UGC05005,3.4328,3.2427,CBT,0.568,100.0,28.6
UGC05253,146.3987,17.3801,CBT,0.609,248.0,53.3
UGC05414,4.1976,2.7187,CBT,0.442,61.4,4.1
UGC05716,14.5685,15.0907,Newton,0.514,74.7,12.4
UGC05721,15.3955,7.3877,CBT,0.474,82.6,6.7
UGC05750,0.4364,0.8993,Newton,0.554,78.9,22.9
UGC05764,11.1795,14.9058,Newton,0.434,55.8,3.6
UGC05829,0.3788,0.1936,CBT,0.476,68.6,6.9
UGC05918,0.4635,0.5337,Newton,0.447,44.5,4.5
UGC05986,28.2198,18.8828,CBT,0.496,116.0,9.4
UGC05999,7.2806,10.2916,Newton,0.532,100.0,16.2
UGC06399,1.1904,1.3059,Newton,0.484,87.6,7.8
UGC06446,0.6271,0.4234,CBT,0.501,84.9,10.2
UGC06614,17.4459,6.6980,CBT,0.622,205.0,64.6
UGC06628,0.2549,0.1979,CBT,0.483,42.3,7.7
UGC06667,8.1202,2.2808,CBT,0.484,85.7,7.8
UGC06786,284.1344,109.4212,CBT,0.580,229.0,34.0
UGC06787,371.9374,88.2670,CBT,0.586,276.0,37.2
UGC06818,10.3982,8.5280,CBT,0.477,74.4,7.0
UGC06917,6.3585,4.5329,CBT,0.503,111.0,10.5
UGC06923,4.1785,2.7268,CBT,0.457,81.1,5.2
UGC06930,1.4057,0.8726,CBT,0.533,109.0,16.6
UGC06973,63.3875,29.6565,CBT,0.484,180.0,7.8
UGC06983,4.2060,2.3835,CBT,0.529,113.0,15.7
UGC07089,2.2755,2.6018,Newton,0.494,79.1,9.2
UGC07125,4.3728,3.8041,CBT,0.541,65.6,18.7
UGC07151,3.0185,1.4075,CBT,0.461,76.2,5.5
UGC07261,2.1904,1.6361,CBT,0.474,76.1,6.7
UGC07323,1.7291,2.4877,Newton,0.465,85.6,5.8
UGC07399,15.3052,6.5545,CBT,0.468,106.0,6.1
UGC07524,1.6235,1.2819,CBT,0.504,83.8,10.7
UGC07559,1.1427,0.6946,CBT,0.410,32.1,2.5
UGC07577,0.2958,0.2340,CBT,0.384,17.8,1.7
UGC07603,17.7014,9.7165,CBT,0.442,64.0,4.1
UGC07608,0.4846,0.3263,CBT,0.452,69.3,4.8
UGC07690,2.3897,0.8555,CBT,0.442,60.7,4.1
UGC07866,0.1366,0.0530,CBT,0.405,33.1,2.3
UGC08286,9.7620,6.8360,CBT,0.486,84.3,8.0
UGC08490,16.4464,6.9321,CBT,0.501,80.1,10.2
UGC08550,14.4802,6.6152,CBT,0.459,57.8,5.4
UGC08699,45.8824,5.6869,CBT,0.561,202.0,25.7
UGC08837,5.0871,4.6397,CBT,0.443,48.0,4.2
UGC09037,27.4404,17.7167,CBT,0.567,160.0,28.0
UGC09133,644.9453,10.5989,CBT,0.655,289.0,108.3
UGC09992,0.0514,0.1536,Newton,0.438,34.3,3.9
UGC10310,0.1756,0.0841,CBT,0.483,73.2,7.7
UGC11455,27.8790,13.9472,CBT,0.593,291.0,41.9
UGC11557,2.2226,1.9933,CBT,0.504,85.0,10.6
UGC11820,10.1577,14.3971,Newton,0.530,84.5,15.8
UGC11914,8.9088,13.2236,Newton,0.499,305.0,9.8
UGC12506,1.9173,1.1582,CBT,0.605,255.0,50.0
UGC12632,0.6062,0.1378,CBT,0.504,73.2,10.7
UGC12732,1.5716,1.7924,Newton,0.528,98.0,15.4
UGCA281,1.2940,1.1202,CBT,0.355,29.5,1.1
UGCA442,37.0556,23.3796,CBT,0.470,57.8,6.3
UGCA444,0.6733,0.4905,CBT,0.413,38.3,2.6
